Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Settings.Designer.cs,102,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((int)(this[""ScaleIndex""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Settings.Designer.cs,93,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""ImageFormSize""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Settings.Designer.cs,90,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((global::System.Drawing.Size)(this[""ImageFormSize""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Settings.Designer.cs,81,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""ImageFormLocation""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Settings.Designer.cs,78,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((global::System.Drawing.Point)(this[""ImageFormLocation""]));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Texture64\Texture64.csproj,File,Texture64\Properties\Settings.Designer.cs,68,12,T:System.Windows.Forms.FormWindowState,,,,,"set {                  this[""ImageFormState""] = value;              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Settings.Designer.cs,69,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""ImageFormState""] = value;"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Texture64\Texture64.csproj,File,Texture64\Properties\Settings.Designer.cs,65,12,T:System.Windows.Forms.FormWindowState,,,,,"get {                  return ((global::System.Windows.Forms.FormWindowState)(this[""ImageFormState""]));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Settings.Designer.cs,66,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((global::System.Windows.Forms.FormWindowState)(this[""ImageFormState""]));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Texture64\Texture64.csproj,File,Texture64\Properties\Settings.Designer.cs,61,8,T:System.Windows.Forms.FormWindowState,,,,,public global::System.Windows.Forms.FormWindowState ImageFormState
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Settings.Designer.cs,57,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""CustomHeight""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Settings.Designer.cs,54,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((int)(this[""CustomHeight""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Settings.Designer.cs,45,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""CustomWidth""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Settings.Designer.cs,42,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((int)(this[""CustomWidth""]));"
